Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
0.4951560309329593,0.07907907631794535,75.0,0,3,1
-0.2102181057921383,1.5573839754207042,60.6,1,0,0
0.6494566233415743,0.07907907631794535,64.0,1,1,0
1.6193460613385842,0.36312019230275444,62.4,0,2,0
-0.32043281465543483,1.1700551808959638,72.7,1,3,0
-0.32043281465543483,0.16945579504038424,69.3,0,0,1
1.6854748866565614,-2.1028731328380927,93.6,1,4,1
0.7817142739775305,1.5896613749644326,59.2,0,4,0
-0.5629051741546873,0.07907907631794535,91.9,1,2,1
-0.5629051741546873,-1.1022737469825132,72.3,1,3,0
-0.5629051741546873,0.07907907631794535,41.2,0,3,0
-2.1720399235588164,0.25337703385407784,50.4,1,2,1
-1.9516105058322235,-0.3017942382980498,49.2,1,1,1
-0.6731198830179838,-1.0829073072562765,55.9,0,0,0
-1.1801075437891477,-0.004842162495749157,98.0,0,0,0
0.2967695549790255,1.505740136150739,51.8,1,2,1
-1.047849893153192,0.22755511421909566,40.8,1,4,0
-1.6209663792423339,1.034490102812305,72.4,1,1,1
1.553217236020606,0.07907907631794535,68.6,1,2,1
-0.2983898728827756,-0.5019141154691658,98.2,1,4,0
0.010211311934454764,0.6407058283788183,64.4,1,0,0
-1.6209663792423339,1.5444730156032127,30.7,1,2,1
-0.6510769412453246,-0.9602531889901088,58.6,0,0,1
0.07634013725243244,0.07907907631794535,58.3,1,4,1
-1.3344081361977629,0.07907907631794535,46.5,1,0,1
0.36289838029700355,-0.19205107984937317,56.6,0,0,0
-0.7172057665633025,1.6283942544169072,62.8,0,1,0
-0.38656163997341286,0.06616811650045382,64.1,1,4,1
-0.7172057665633025,0.07907907631794535,44.3,1,4,1
1.9940760714737922,-1.8769313360319941,74.1,0,1,1
-0.07796045515618254,0.33084279275902606,89.5,1,1,0
-1.2241934273344663,-1.6639004990433872,69.2,1,4,1
0.8478430992955082,-0.6568456332790619,81.6,1,0,1
-1.4005369615157408,-0.6633011131878076,67.7,0,3,0
0.16451190434306975,-0.09521888121818804,49.3,0,3,1
-2.2161258071041354,-1.2894826643361377,69.1,1,3,1
-1.5107516703790373,0.1565448352228927,57.5,0,3,1
0.16451190434306975,0.8408257055499347,48.4,1,3,1
-0.03387457161086408,-1.7284552981308439,63.8,0,3,1
0.14246896257041053,-0.5729243944653684,77.3,0,2,1
-0.18817516401947906,0.07907907631794535,59.9,0,1,0
-0.38656163997341286,0.6729832279225466,94.1,0,2,0
-1.687095204560312,-2.1028731328380927,79.3,1,4,1
-0.8494634171992582,-1.5606128205034562,56.8,1,0,0
-0.5629051741546873,0.5374181498388878,56.3,1,4,0
1.11235840056742,0.376031152120246,97.2,0,0,1
0.3188124967516847,-0.5083695953779116,60.0,1,1,0
-1.9956963893775423,0.07907907631794535,70.5,1,3,1
0.2967695549790255,0.07907907631794535,71.3,0,0,1
-0.4747334070640502,-0.09521888121818804,39.1,1,4,0
-0.8053775336539397,1.3766305379758255,39.3,0,4,1
0.6274136815689151,1.4411853370632823,65.2,1,2,1
0.9801007499314639,-0.5793798743741136,65.2,1,2,1
-0.9817210678352142,0.07907907631794535,42.3,0,4,1
-0.38656163997341286,0.1565448352228927,60.1,0,2,0
0.3188124967516847,0.7891818662799696,68.2,1,3,1
1.0241866334767826,0.2469215539453325,34.1,1,0,0
-0.5849481159273467,0.06616811650045382,65.8,1,0,1
-0.2543039893374571,0.6084284288350899,66.6,1,2,0
-1.2682793108797852,-1.2830271844273924,58.0,0,1,1
-1.3784940197430815,-2.296537530100463,48.5,0,1,1
